trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_f
0,[],{},0,0,0,[],0,0,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 0, 1]",0,0,0,0,0,0,1,1,0.8264153104562549,0.8264153104562549,0.01,8,0,False,False,psi,0
1,[],{},0,0,0,[],0,0,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]",0,0,0,1,0,1,0,0,0.13422172973951613,0.13422172973951613,0.01,8,0,True,True,plus,0
2,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 1]",0,1,0,1,0,1,1,1,0.8264153104562553,0.8264153104562553,0.01,8,0,False,False,psi,0
3,[],{},0,0,0,[],0,0,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]",1,0,1,0,1,0,1,1,0.8264153104562552,0.8264153104562552,0.01,8,0,False,False,psi,0
4,[],{},0,0,0,[],0,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0]",0,0,0,1,0,1,0,0,0.35464493332268454,0.35464493332268454,0.01,8,0,False,False,psi,0
5,[],{},0,0,0,[],0,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]",1,1,0,1,0,1,0,0,0.4787136956552871,0.4787136956552871,0.01,8,0,False,False,psi,0
6,[],{},0,0,0,[],0,0,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]",0,1,1,1,1,1,0,0,0.4787136956552873,0.4787136956552873,0.01,8,0,False,False,psi,0
7,[],{},0,0,0,[],0,0,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 1, 0, 0]",1,0,1,0,1,0,1,1,0.8264153104562552,0.8264153104562552,0.01,8,0,False,False,psi,0
8,[],{},0,0,0,[],0,0,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]",1,0,1,0,1,0,1,1,0.8657782702604835,0.8657782702604835,0.01,8,0,True,False,plus,0
9,[],{},0,0,0,[],0,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1,1,0.826415310456255,0.826415310456255,0.01,8,0,False,False,psi,0
10,[],{},0,0,0,[],0,0,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",1,0,1,0,1,0,1,1,0.8264153104562552,0.8264153104562552,0.01,8,0,False,False,psi,0
11,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]",0,0,0,0,0,0,1,1,0.8264153104562553,0.8264153104562553,0.01,8,0,False,False,psi,0
12,[],{},0,0,0,[],0,0,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",0,0,0,0,0,0,1,1,0.8657782702604836,0.8657782702604836,0.01,8,0,True,False,plus,0
