trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_noise
0,"[1, 5]","{1: 'withhold', 5: 'equivocate'}",0,1,1,"[1, 5]",2,0,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]",1,1,1,0,1,1,0,1,0.28713667453659303,0.9628633254634071,0.0,8,2,False,False,psi,0.0
1,"[1, 3]","{3: 'equivocate', 1: 'withhold'}",0,1,1,"[1, 3]",2,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,1,0,1,0.2871366745365933,0.962863325463407,0.0,8,2,False,False,psi,0.0
2,"[3, 5]","{5: 'equivocate', 3: 'coherent_flip'}",1,1,0,[5],1,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]",0,0,0,0,0,1,1,0,0.9628633254634072,0.2871366745365932,0.0,8,2,False,False,psi,0.0
3,"[1, 6]","{1: 'coherent_flip', 6: 'equivocate'}",1,1,0,[6],1,1,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]",1,0,0,1,1,1,0,0,0.2915546497663821,0.2871366745365931,0.0,8,2,False,False,psi,0.0
4,"[6, 8]","{6: 'equivocate', 8: 'withhold'}",0,1,1,"[6, 8]",2,0,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1]",0,0,1,0,0,0,0,1,0.458445350233618,0.9628633254634071,0.0,8,2,False,False,psi,0.0
5,"[6, 8]","{6: 'withhold', 8: 'coherent_flip'}",1,0,1,[6],1,1,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0]",0,0,1,0,1,0,0,0,0.4584453502336178,0.4584453502336178,0.0,8,2,False,False,psi,0.0
6,"[1, 8]","{1: 'coherent_flip', 8: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1]",0,1,1,0,1,0,0,0,0.2915546497663819,0.2915546497663819,0.0,8,2,False,False,psi,0.0
7,"[7, 8]","{7: 'withhold', 8: 'equivocate'}",0,1,1,"[7, 8]",2,0,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 1]",1,1,0,1,1,1,0,1,0.4584453502336179,0.9628633254634072,0.0,8,2,False,False,psi,0.0
8,"[5, 6]","{6: 'equivocate', 5: 'equivocate'}",0,2,0,"[5, 6]",2,0,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 0, 1]",1,1,0,0,1,1,0,1,0.2915546497663819,0.9628633254634072,0.0,8,2,False,False,psi,0.0
9,"[3, 7]","{3: 'coherent_flip', 7: 'withhold'}",1,0,1,[7],1,1,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",1,0,1,1,1,1,0,0,0.287136674536593,0.287136674536593,0.0,8,2,False,False,psi,0.0
10,"[1, 2]","{1: 'withhold', 2: 'equivocate'}",0,1,1,"[1, 2]",2,0,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 1, 0]",0,1,1,1,0,1,0,1,0.4584453502336178,0.9628633254634069,0.0,8,2,False,False,psi,0.0
11,"[5, 8]","{8: 'equivocate', 5: 'equivocate'}",0,2,0,"[5, 8]",2,0,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0]",1,0,0,1,1,0,0,1,0.2915546497663821,0.9628633254634072,0.0,8,2,False,False,psi,0.0
12,"[1, 4]","{4: 'equivocate', 1: 'equivocate'}",0,2,0,"[1, 4]",2,0,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]",1,0,0,1,1,0,0,1,0.2915546497663819,0.9628633254634071,0.0,8,2,False,False,psi,0.0
13,"[5, 7]","{5: 'equivocate', 7: 'coherent_flip'}",1,1,0,[5],1,1,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 1]",0,1,0,1,0,0,1,0,0.9628633254634072,0.2871366745365933,0.0,8,2,False,False,psi,0.0
