trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected
0,regular,psi,"[2, 7]","{7: 'coherent_flip', 2: 'equivocate'}",1,1,0,[2],1,1,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 1, 1]",0,0,1,1,0,1,0,0,0.3114857600954144,0.30749018279198925,,,,0.01,8,2,False,False
1,regular,psi,"[3, 8]","{3: 'coherent_flip', 8: 'equivocate'}",1,1,0,[8],1,1,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 0]",0,0,1,1,0,1,0,0,0.3114857680573853,0.30749022079443394,,,,0.01,8,2,False,False
2,regular,psi,"[3, 5]","{3: 'coherent_flip', 5: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]",1,1,1,1,1,1,1,1,0.9186053765933344,0.9186053765933344,,,,0.01,8,2,False,False
3,regular,psi,"[2, 7]","{2: 'coherent_flip', 7: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 0, 0]","[0, 1, 0, 1, 1, 1, 0, 0]",0,1,1,0,1,0,0,0,0.3114857455847376,0.3114857455847376,,,,0.01,8,2,False,False
4,regular,psi,"[4, 6]","{6: 'withhold', 4: 'withhold'}",0,0,2,"[4, 6]",2,0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]",0,0,0,0,0,0,1,1,0.9186052993902135,0.9186052993902135,,,,0.01,8,2,False,False
5,regular,psi,"[3, 8]","{3: 'coherent_flip', 8: 'withhold'}",1,0,1,[8],1,1,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 1, 0, 1, 1]",1,1,1,0,1,0,0,0,0.30749018646141135,0.30749018646141135,,,,0.01,8,2,False,False
6,verification,verification,"[1, 6]","{6: 'coherent_flip', 1: 'coherent_flip'}",2,0,0,[],0,2,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]",1,0,0,1,0,1,0,0,,,Phi-,False,0.02616541177004941,0.01,8,2,False,False
7,regular,plus,"[4, 5]","{4: 'withhold', 5: 'equivocate'}",0,1,1,"[4, 5]",2,0,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]",1,1,1,0,1,1,0,1,0.047808915376663215,0.9521910846233366,,,,0.01,8,2,True,False
8,regular,psi,"[3, 5]","{5: 'equivocate', 3: 'coherent_flip'}",1,1,0,[5],1,1,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",0,0,0,0,0,1,1,0,0.9186052830577923,0.3074902145503926,,,,0.01,8,2,False,False
9,regular,plus,"[1, 8]","{8: 'withhold', 1: 'coherent_flip'}",1,0,1,[8],1,1,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]",1,0,1,1,1,1,0,0,0.047808915376663215,0.047808915376663215,,,,0.01,8,2,True,True
