trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
0,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]",0,1,0,1,0,1,1,1,0.9186053394413579,0.9186053394413579,,,,0.01,8,0,False,False,0
1,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]",1,0,1,0,1,0,1,1,0.9186053199438239,0.9186053199438239,,,,0.01,8,0,False,False,0
2,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]",1,1,1,1,1,1,1,1,0.918605311017022,0.918605311017022,,,,0.01,8,0,False,False,0
3,verification,verification,[],{},0,0,0,[],0,0,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]",1,0,1,0,1,0,1,1,,,Phi+,True,0.9215037799329693,0.01,8,0,False,False,0
4,regular,plus,[],{},0,0,0,[],0,0,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",0,1,0,1,0,1,1,1,0.9521910846233366,0.9521910846233366,,,,0.01,8,0,True,False,0
5,verification,verification,[],{},0,0,0,[],0,0,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 1]",1,1,1,1,1,1,1,1,,,Phi+,True,0.9215037948341309,0.01,8,0,False,False,0
6,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1]",1,0,1,0,1,0,1,1,0.9186053311421751,0.9186053311421751,,,,0.01,8,0,False,False,0
7,regular,psi,[],{},0,0,0,[],0,0,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1,1,0.9186053128601146,0.9186053128601146,,,,0.01,8,0,False,False,0
8,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 1, 1, 1]",0,0,0,0,0,0,1,1,0.9186053826209672,0.9186053826209672,,,,0.01,8,0,False,False,0
9,regular,psi,[],{},0,0,0,[],0,0,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 0]",0,0,0,0,0,0,1,1,0.9186053694170129,0.9186053694170129,,,,0.01,8,0,False,False,0
10,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0, 0]",1,0,1,0,1,0,1,1,0.9186053694170129,0.9186053694170129,,,,0.01,8,0,False,False,0
11,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]",1,0,1,0,1,0,1,1,0.9186053694170129,0.9186053694170129,,,,0.01,8,0,False,False,0
12,verification,verification,[],{},0,0,0,[],0,0,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1]",1,0,1,0,1,0,1,1,,,Phi+,True,0.9215038097352926,0.01,8,0,False,False,0
13,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]",1,0,1,0,1,0,1,1,0.9186053094657081,0.9186053094657081,,,,0.01,8,0,False,False,0
14,regular,psi,[],{},0,0,0,[],0,0,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]",1,1,1,1,1,1,1,1,0.9186052906625755,0.9186052906625755,,,,0.01,8,0,False,False,0
15,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]",1,1,1,1,1,1,1,1,0.9186053300343824,0.9186053300343824,,,,0.01,8,0,False,False,0
16,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 1]",1,1,1,1,1,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,0,False,False,0
17,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 1]",0,0,0,0,0,0,1,1,0.9186053398698146,0.9186053398698146,,,,0.01,8,0,False,False,0
18,regular,psi,[],{},0,0,0,[],0,0,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]",1,0,1,0,1,0,1,1,0.9186053582186602,0.9186053582186602,,,,0.01,8,0,False,False,0
