trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_noise
0,regular,psi,"[7, 8]","{8: 'withhold', 7: 'equivocate'}",0,1,1,"[7, 8]",2,0,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0]",1,0,1,1,1,0,0,1,0.2871366753319648,0.9628633246680353,,,,0.0,8,2,False,False,0.0
1,regular,psi,"[2, 4]","{2: 'coherent_flip', 4: 'withhold'}",1,0,1,[4],1,1,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0]",0,0,1,0,1,0,0,0,0.45844534538997145,0.45844534538997145,,,,0.0,8,2,False,False,0.0
2,regular,psi,"[1, 8]","{8: 'coherent_flip', 1: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 1, 0]",0,1,1,0,1,0,0,0,0.29155465461002855,0.29155465461002855,,,,0.0,8,2,False,False,0.0
3,regular,psi,"[1, 2]","{1: 'withhold', 2: 'equivocate'}",0,1,1,"[1, 2]",2,0,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1]",1,0,0,0,1,0,0,1,0.45844534538997145,0.9628633246680353,,,,0.0,8,2,False,False,0.0
4,regular,psi,"[6, 7]","{7: 'withhold', 6: 'equivocate'}",0,1,1,"[6, 7]",2,0,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 0, 1, 1]",0,0,1,0,0,0,0,1,0.45844534538997145,0.9628633246680353,,,,0.0,8,2,False,False,0.0
5,regular,psi,"[1, 2]","{2: 'coherent_flip', 1: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]",0,0,1,1,1,1,0,0,0.29155465461002855,0.29155465461002855,,,,0.0,8,2,False,False,0.0
6,regular,psi,"[1, 4]","{4: 'withhold', 1: 'equivocate'}",0,1,1,"[1, 4]",2,0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 1]",1,0,1,1,1,0,0,1,0.2871366753319648,0.9628633246680353,,,,0.0,8,2,False,False,0.0
7,regular,psi,"[5, 7]","{7: 'equivocate', 5: 'coherent_flip'}",1,1,0,[7],1,1,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 1, 1]",1,0,1,0,1,1,1,0,0.9628633246680353,0.2871366753319648,,,,0.0,8,2,False,False,0.0
8,regular,psi,"[7, 8]","{8: 'coherent_flip', 7: 'equivocate'}",1,1,0,[7],1,1,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 0, 1]",1,0,0,1,0,0,0,0,0.29155465461002855,0.45844534538997145,,,,0.0,8,2,False,False,0.0
9,verification,verification,"[5, 7]","{5: 'coherent_flip', 7: 'equivocate'}",1,1,0,[7],1,1,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,1,1,0,,,Phi-,False,0.0,0.0,8,2,False,False,0.0
10,regular,psi,"[4, 7]","{4: 'coherent_flip', 7: 'equivocate'}",1,1,0,[7],1,1,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 0]",1,0,0,1,0,0,0,0,0.29155465461002855,0.45844534538997145,,,,0.0,8,2,False,False,0.0
11,regular,psi,"[5, 6]","{6: 'withhold', 5: 'withhold'}",0,0,2,"[5, 6]",2,0,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 1, 0, 1, 1, 1]",0,1,0,1,0,1,1,1,0.9628633246680353,0.9628633246680353,,,,0.0,8,2,False,False,0.0
12,regular,psi,"[2, 6]","{2: 'coherent_flip', 6: 'withhold'}",1,0,1,[6],1,1,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]",1,0,0,0,0,0,0,0,0.45844534538997145,0.45844534538997145,,,,0.0,8,2,False,False,0.0
13,regular,psi,"[1, 8]","{1: 'withhold', 8: 'equivocate'}",0,1,1,"[1, 8]",2,0,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 1]",1,0,0,0,1,0,0,1,0.45844534538997145,0.9628633246680353,,,,0.0,8,2,False,False,0.0
